Id,SalePrice
1461,122003.656333
1462,157622.474951
1463,182196.131076
1464,195309.664474
1465,191563.464136
1466,171166.291547
1467,175394.898946
1468,163648.482666
1469,185872.7756
1470,124537.346706
1471,186326.643086
1472,97468.7503373
1473,96747.8722451
1474,145126.817363
1475,110505.774649
1476,368033.162824
1477,254558.635512
1478,284761.681797
1479,285049.488997
1480,497993.378301
1481,336831.278274
1482,214672.050527
1483,178151.601981
1484,162545.437094
1485,183591.529361
1486,194081.593902
1487,339920.901474
1488,236525.793659
1489,199316.12678
1490,238177.630364
1491,190358.507958
1492,94088.4219128
1493,179464.102469
1494,290901.29524
1495,285778.42324
1496,233032.722331
1497,180417.343678
1498,165566.068343
1499,159978.453441
1500,156741.739411
1501,177359.68356
1502,143641.884604
1503,282935.565881
1504,244865.705231
1505,227726.987404
1506,191376.980706
1507,248381.465789
1508,197092.314214
1509,161778.308483
1510,145196.940227
1511,151118.533837
1512,174914.301669
1513,143148.05283
1514,151327.468371
1515,189687.983028
1516,149614.91629
1517,167962.884831
1518,130652.867915
1519,213832.110554
1520,132023.750173
1521,133767.923841
1522,174293.100785
1523,112891.176721
1524,127624.599641
1525,121744.396472
1526,110345.45161
1527,106817.250483
1528,139234.710295
1529,152015.992685
1530,182610.805564
1531,107244.867556
1532,95392.1025663
1533,145962.88344
1534,123085.929499
1535,155918.371551
1536,106002.015888
1537,60566.6641796
1538,155429.404589
1539,194551.341596
1540,92713.0289744
1541,143562.742095
1542,139282.04751
1543,201920.834293
1544,84756.9072501
1545,110364.30993
1546,129362.616549
1547,132683.362224
1548,134564.518306
1549,117677.855827
1550,129380.04784
1551,107785.600986
1552,136153.764359
1553,154045.866276
1554,118368.043234
1555,164169.500045
1556,86512.2976427
1557,103855.607223
1558,97658.6685993
1559,74885.876814
1560,123958.086638
1561,125076.167956
1562,126692.483989
1563,120726.422081
1564,159502.624373
1565,143914.132334
1566,241994.028363
1567,75587.9460285
1568,233597.162993
1569,133078.642252
1570,142412.745005
1571,121253.454801
1572,146483.631754
1573,250018.231747
1574,119650.582955
1575,228431.761272
1576,241437.666246
1577,182239.798654
1578,139674.588906
1579,151498.646845
1580,192340.050836
1581,153403.215364
1582,123718.466351
1583,300123.928689
1584,219194.277866
1585,138541.829377
1586,68136.1280817
1587,104122.017175
1588,156960.610149
1589,95682.4319511
1590,134285.522885
1591,95530.3036572
